case_id,run_name,st1_frequency,st2_frequency,trial_file,st1_file,st2_file,case_dir
317,st1_91_hz__st2_91_hz__trial_3,91_hz,91_hz,trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_91_hz__trial_3
318,st1_91_hz__st2_91_hz__trial_4,91_hz,91_hz,trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/91_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_91_hz__trial_4
319,st1_91_hz__st2_91_hz__trial_5,91_hz,91_hz,trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/91_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_91_hz__trial_5
320,st1_91_hz__st2_121_hz__trial_1,91_hz,121_hz,trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/121_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_121_hz__trial_1
321,st1_91_hz__st2_121_hz__trial_2,91_hz,121_hz,trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/121_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_121_hz__trial_2
322,st1_91_hz__st2_121_hz__trial_3,91_hz,121_hz,trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/121_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_121_hz__trial_3
323,st1_91_hz__st2_121_hz__trial_4,91_hz,121_hz,trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/121_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_121_hz__trial_4
324,st1_91_hz__st2_121_hz__trial_5,91_hz,121_hz,trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/121_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_121_hz__trial_5
325,st1_91_hz__st2_151_hz__trial_1,91_hz,151_hz,trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/151_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_151_hz__trial_1
326,st1_91_hz__st2_151_hz__trial_2,91_hz,151_hz,trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/151_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_151_hz__trial_2
